,sort_up_to,pocket,auroc,model,seed
32,12,1BYJ_A_GE3_30,0.9370904325032765,rdock,1
33,13,1BYJ_A_GE3_30,0.9292267365661862,rdock,1
34,14,1BYJ_A_GE3_30,0.9239842726081258,rdock,1
35,15,1BYJ_A_GE3_30,0.9187418086500655,rdock,1
36,16,1BYJ_A_GE3_30,0.9108781127129751,rdock,1
37,17,1BYJ_A_GE3_30,0.90956749672346,rdock,1
38,18,1BYJ_A_GE3_30,0.9043250327653998,rdock,1
39,19,1BYJ_A_GE3_30,0.9003931847968545,rdock,1
40,0,1BYJ_A_GE3_30,0.90956749672346,rdock,2
41,1,1BYJ_A_GE3_30,0.90956749672346,rdock,2
42,2,1BYJ_A_GE3_30,0.9895150720838795,rdock,2
43,3,1BYJ_A_GE3_30,0.9829619921363041,rdock,2
44,4,1BYJ_A_GE3_30,0.9724770642201834,rdock,2
45,5,1BYJ_A_GE3_30,0.9646133682830931,rdock,2
46,6,1BYJ_A_GE3_30,0.9580602883355177,rdock,2
47,7,1BYJ_A_GE3_30,0.9541284403669725,rdock,2
48,8,1BYJ_A_GE3_30,0.9515072083879423,rdock,2
49,9,1BYJ_A_GE3_30,0.9501965923984272,rdock,2
50,10,1BYJ_A_GE3_30,0.9475753604193972,rdock,2
51,11,1BYJ_A_GE3_30,0.9436435124508519,rdock,2
52,12,1BYJ_A_GE3_30,0.9384010484927916,rdock,2
53,13,1BYJ_A_GE3_30,0.926605504587156,rdock,2
54,14,1BYJ_A_GE3_30,0.9239842726081258,rdock,2
55,15,1BYJ_A_GE3_30,0.9187418086500655,rdock,2
56,16,1BYJ_A_GE3_30,0.9134993446920052,rdock,2
57,17,1BYJ_A_GE3_30,0.908256880733945,rdock,2
58,18,1BYJ_A_GE3_30,0.9056356487549149,rdock,2
59,19,1BYJ_A_GE3_30,0.9003931847968545,rdock,2
60,0,1BYJ_A_GE3_30,0.3027522935779816,rdock,3
61,1,1BYJ_A_GE3_30,0.3027522935779816,rdock,3
62,2,1BYJ_A_GE3_30,0.3027522935779816,rdock,3
63,3,1BYJ_A_GE3_30,0.3027522935779816,rdock,3
64,4,1BYJ_A_GE3_30,0.3027522935779816,rdock,3
65,5,1BYJ_A_GE3_30,0.3027522935779816,rdock,3
66,6,1BYJ_A_GE3_30,0.3027522935779816,rdock,3
67,7,1BYJ_A_GE3_30,0.3027522935779816,rdock,3
68,8,1BYJ_A_GE3_30,0.3027522935779816,rdock,3
69,9,1BYJ_A_GE3_30,0.3027522935779816,rdock,3
70,10,1BYJ_A_GE3_30,0.3027522935779816,rdock,3
71,11,1BYJ_A_GE3_30,0.3027522935779816,rdock,3
72,12,1BYJ_A_GE3_30,0.3027522935779816,rdock,3
73,13,1BYJ_A_GE3_30,0.3027522935779816,rdock,3
74,14,1BYJ_A_GE3_30,0.9239842726081258,rdock,3
75,15,1BYJ_A_GE3_30,0.9148099606815203,rdock,3
76,16,1BYJ_A_GE3_30,0.9134993446920052,rdock,3
77,17,1BYJ_A_GE3_30,0.9069462647444299,rdock,3
78,18,1BYJ_A_GE3_30,0.9030144167758847,rdock,3
79,19,1BYJ_A_GE3_30,0.9003931847968545,rdock,3
80,0,1BYJ_A_GE3_30,0.3027522935779816,rdock,4
81,1,1BYJ_A_GE3_30,0.3027522935779816,rdock,4
82,2,1BYJ_A_GE3_30,0.3027522935779816,rdock,4
83,3,1BYJ_A_GE3_30,0.3027522935779816,rdock,4
